dataset,model,technique,language,n_items,n_no_prediction,n_strict_correct,n_partial_correct,strict_accuracy,partial_accuracy,crosslingual,multilabel
fracas-translated,gpt-4o,few-shot,en,342,0,235,235,0.6871345029239766,0.6871345029239766,True,False
fracas-translated,gpt-4o,zero-shot,el,342,0,224,224,0.6549707602339181,0.6549707602339181,False,False
fracas-translated,gpt-4o,zero-shot,en,342,0,239,239,0.6988304093567251,0.6988304093567251,True,False
fracas-translated,gpt-5.4,few-shot,el,342,0,256,256,0.7485380116959064,0.7485380116959064,False,False
fracas-translated,gpt-5.4,few-shot,en,342,0,257,257,0.7514619883040936,0.7514619883040936,True,False
fracas-translated,gpt-5.4,zero-shot,el,342,0,247,247,0.7222222222222222,0.7222222222222222,False,False
fracas-translated,gpt-5.4,zero-shot,en,342,0,256,256,0.7485380116959064,0.7485380116959064,True,False
fracas-translated,deepseek-r1,few-shot,el,342,0,223,223,0.652046783625731,0.652046783625731,False,False
fracas-translated,deepseek-r1,few-shot,en,342,0,235,235,0.6871345029239766,0.6871345029239766,True,False
fracas-translated,deepseek-r1,zero-shot,el,342,0,203,203,0.5935672514619883,0.5935672514619883,False,False
fracas-translated,deepseek-r1,zero-shot,en,342,0,201,201,0.5877192982456141,0.5877192982456141,True,False
fracas-translated,deepseek-v4-pro,few-shot,el,342,0,219,219,0.6403508771929824,0.6403508771929824,False,False
fracas-translated,deepseek-v4-pro,few-shot,en,342,0,241,241,0.7046783625730995,0.7046783625730995,True,False
fracas-translated,deepseek-v4-pro,zero-shot,el,342,0,219,219,0.6403508771929824,0.6403508771929824,False,False
fracas-translated,deepseek-v4-pro,zero-shot,en,342,0,238,238,0.695906432748538,0.695906432748538,True,False
fracas-translated,grok-4-20,few-shot,el,342,0,227,227,0.6637426900584795,0.6637426900584795,False,False
fracas-translated,grok-4-20,few-shot,en,342,0,244,244,0.7134502923976608,0.7134502923976608,True,False
fracas-translated,grok-4-20,zero-shot,el,342,0,183,183,0.5350877192982456,0.5350877192982456,False,False
fracas-translated,grok-4-20,zero-shot,en,342,0,238,238,0.695906432748538,0.695906432748538,True,False
fracas-translated,grok-4-20-reasoning,few-shot,el,342,0,276,276,0.8070175438596491,0.8070175438596491,False,False
fracas-translated,grok-4-20-reasoning,few-shot,en,342,0,272,272,0.7953216374269005,0.7953216374269005,True,False
fracas-translated,grok-4-20-reasoning,zero-shot,el,342,0,235,235,0.6871345029239766,0.6871345029239766,False,False
fracas-translated,grok-4-20-reasoning,zero-shot,en,342,0,250,250,0.7309941520467836,0.7309941520467836,True,False
fracas-translated,llama-3.3-70b,few-shot,el,342,0,211,211,0.6169590643274854,0.6169590643274854,False,False
fracas-translated,llama-3.3-70b,few-shot,en,342,0,214,214,0.6257309941520468,0.6257309941520468,True,False
fracas-translated,llama-3.3-70b,zero-shot,el,342,0,206,206,0.6023391812865497,0.6023391812865497,False,False
fracas-translated,llama-3.3-70b,zero-shot,en,342,0,217,217,0.6345029239766082,0.6345029239766082,True,False
